datum,titel,ressort,labeltop,shorttext,autor,link
2025-05-02 15:34:00,Berlins Kultursenator Chialo tritt zurück,inland,Sparprogramm des Senats,Der Berliner Kulturhaushalt ist von Etatkürzungen in Millionenhöhe betroffen. Diese Einschnitte will der zuständige Senator Chialo offenbar nicht mehr mittragen. Nun hat er seinen Rücktritt eingereicht.mehr,Kein Autor,https://www.tagesschau.de/inland/regional/berlin/berliner-kultursenator-chialo-ruecktritt-100.html
2025-05-02 15:31:00,Deutschland hat Ressourcen für 2025 aufgebraucht,inland,"""Erdüberlastungstag""",Ab Samstag lebt Deutschland wieder auf Pump. Dann hat die Bundesrepublik rechnerisch die ihr zustehenden Ressourcen der Erde für dieses Jahr aufgebraucht. Im Vergleich zum Vorjahr ist das eine kleine Verbesserung.mehr,Kein Autor,https://www.tagesschau.de/inland/oekologie-ressourcen-erdueberlastung-deutschland-100.html
2025-05-02 15:24:00,Australiens große Wohnungsnot,wirtschaft,Wichtiges Wahlkampf-Thema,"In Australien wird gewählt, und die Wirtschaft steht im Fokus. Die hohen Lebenshaltungskosten und eine sich zuspitzende Wohnungsnot sind die wichtigsten Themen.Von Jennifer Johnston.mehr",Von Jennifer Johnston.,https://www.tagesschau.de/wirtschaft/verbraucher/wohnungsnot-australien-100.html
2025-05-02 15:18:00,"Inflation in Eurozone verharrt bei 2,2 Prozent",wirtschaft,Preistreiber Dienstleistungen,Im April sind die Verbraucherpreise in der Eurozone im Schnitt nach ersten Zahlen gleich geblieben. Besonders deutlich zogen die Preise bei Dienstleistungen wie Essengehen oder dem Friseurbesuch an.mehr,Kein Autor,https://www.tagesschau.de/wirtschaft/verbraucher/inflation-eurozone-april-100.html
2025-05-02 15:18:00,Was bedeutet die neue Einstufung - und was sind die Folgen?,inland,Verfassungsschutz zur AfD,"Die AfD ist ""gesichert rechtsextremistisch"". Was bedeutet das für ihre Arbeit im Bundestag? Hat es Folgen für Beamte, die AfD-Mitglied sind? Und wie darf sie nun beobachtet werden? DieARD-Rechtsredaktionbeantwortet zentrale Fragen.mehr",ARD-Rechtsredaktion,https://www.tagesschau.de/inland/innenpolitik/faq-afd-neue-einstufung-verfassungsschutz-100.html
2025-05-02 14:10:00,"""Die AfD ist die größte Gefahr für die Demokratie""",inland,Extremismusforscher,"Die Einstufung der AfD als ""gesichert rechtsextremistisch"" komme nicht überraschend, sagt Rechtsextremismusexperte Quent. Wie sich die Partei radikalisiert hat und warum ihre Normalisierung gefährlich ist, erklärt er imtagesschau24-Interview.mehr",tagesschau24,https://www.tagesschau.de/inland/innenpolitik/afd-einstufung-verfassungsschutz-102.html
2025-05-02 14:05:00,Scholz und Faeser zögern beiAfD-Verbotsverfahren,inland,Neueinschätzung des Verfassungsschutzes,Seit heute gilt die AfD in Gänze als rechtsextremistisch. Doch Innenministerin Faeser und Kanzler Scholz sehen hohe Hürden für ein Verbotsverfahren. Die AfD vermutet politische Motive und will sich wehren.mehr,Kein Autor,https://www.tagesschau.de/inland/innenpolitik/reaktion-einstufung-afd-rechtsextrem-100.html
2025-05-02 14:01:00,Nur jeder vierte Deutsche überprüft KI-Ergebnisse,wirtschaft,Andere Länder kritischer,KI-Chatbots werben mit smarten Antworten auf Knopfdruck. Doch nicht immer sind die Angaben richtig. Dennoch überprüft hierzulande offenbar nur etwa jeder Vierte die Ergebnisse.mehr,Kein Autor,https://www.tagesschau.de/wirtschaft/verbraucher/ki-blindes-vertrauen-100.html
2025-05-02 13:58:00,Deutsche sind nicht so richtig glücklich,wissen,Internationale Zufriedenheitsstudie,200.000 Menschen wurden für eine Studie zum Thema Wohlbefinden und Glück befragt. Deutschland belegt nur den 17. von 22 Plätzen. Auffällig: Jüngeren Menschen geht es global schlechter.Von D. Rengeling.mehr,Von D. Rengeling.,https://www.tagesschau.de/wissen/glueck-wohlbefinden-studie-100.html
2025-05-02 12:43:00,530 Millionen Euro Strafe wegenDatenschutz-Verstößen,wirtschaft,Maßnahme gegen TikTok,TikTok soll wegen Verstößen gegen den europäischen Datenschutz mehr als eine halbe Milliarde Euro zahlen. Es ist nicht die erste Strafe. Worum es diesmal geht - und was China damit zu tun hat.mehr,Kein Autor,https://www.tagesschau.de/wirtschaft/unternehmen/tiktok-datenschutzverstoss-100.html
2025-05-02 12:13:00,OffenbarGaza-Hilfsschiffmit Drohnen angegriffen,ausland,Organisation beschuldigt Israel,Vor der Küste Maltas ist ein Schiff mit Hilfslieferungen für den Gazastreifen in Brand geraten. Die Organisation vermutet einen gezielten Drohnenangriff und macht Israel verantwortlich. Eine Reaktion von dort gibt es noch nicht.mehr,Kein Autor,https://www.tagesschau.de/ausland/asien/gaza-angriff-schiff-102.html
2025-05-02 11:52:00,Jugendlicher freigelassen - drei neue Festnahmen,ausland,Nach tödlichen Schüssen in Uppsala,"Drei junge Menschen wurden am Dienstag bei Schüssen in Uppsala getötet. Ein Jugendlicher, der zunächst unter Tatverdacht stand, wurde nun auf freien Fuß gesetzt. Dafür seien drei andere Personen festgenommen worden, erklärten Ermittler.mehr",Kein Autor,https://www.tagesschau.de/ausland/europa/schweden-anschlag-tote-festnahmen-100.html
